city,population,density (per sq. km)
Quincy,44466,981
Lancaster,44447,829
Riverton,44440,1363
The Colony,44438,1225
Urbandale,44379,762
Plainfield,44308,705
Lombard,44303,1675
Prescott,44299,380
North Lauderdale,44262,3697
Eureka,44236,1098
Hackensack,44188,4070
Sayreville,44173,1077
Altamonte Springs,44143,1876
Del Rio,44121,676
Cleveland Heights,43992,2097
Bountiful,43981,1286
Desert Hot Springs,43914,368
Peachtree Corners,43905,1052
Haltom City,43874,1369
Ormond Beach,43759,510
Cutler Bay,43718,1707
Trujillo Alto,43703,2329
Adrian,43689,994
Goose Creek,43665,409
Moorhead,43652,756
Westfield,43649,554
Concord,43627,263
Annandale,43295,2129
Rohnert Park,43291,2386
Brea,43255,1373
Klamath Falls,43246,419
Salem,43226,2012
Channelview,43055,1148
North Miami Beach,43041,3429
Whitney,42973,2471
Freeport,42956,3622
Centralia,42922,904
Gallatin,42918,520
Stevens Point,42837,581
San Bruno,42807,3019
Burke,42806,1920
Brentwood,42783,401
North Fort Myers,42770,326
Hicksville,42709,2427
West Babylon,42665,2117
Edmonds,42605,1844
Apache Junction,42571,468
Fairfield,42558,788
Oakley,42543,1035
Hutchinson,42531,634
Greenwood,42429,553
Richmond,42373,568
Linden,42361,1530
Puyallup,42361,1157
Huntsville,42241,454
Urbana,42214,1379
Beverly,42174,1079
Clovis,42168,626
Statesboro,42102,854
Hobbs,42095,572
McMinnville,42062,1268
Schertz,42042,507
Bell Gardens,42012,6597
Oviedo,41860,1043
Odenton,41846,1093
Grove City,41820,940
Campbell,41793,2656
Wentzville,41784,809
Woonsocket,41751,2081
La Quinta,41748,457
Weslaco,41629,913
Zanesville,41589,825
Newnan,41581,831
Shakopee,41570,570
Brighton,41554,757
Catonsville,41547,1148
Rancho Palos Verdes,41530,1190
Mableton,41487,778
Coppell,41421,1102
Linton Hall,41386,1255
Moline,41356,953
Delaware,41283,825
Westfield,41204,343
Shelton,41129,518
Greenacres,41117,2714
Westerville,41103,1259
