city,population,density (per sq. km)
Manassas,41085,1610
Kearny,41058,1792
Los Banos,41036,1585
Richmond,40972,686
Spanish Fork,40913,974
Belleville,40897,680
Maplewood,40885,926
Wilkes-Barre,40766,2254
Pottsville,40685,1248
Columbia,40663,472
Bartlett,40647,996
Bluefield,40640,411
Fitchburg,40638,563
Marion,40588,691
Cedar Falls,40536,540
Buffalo Grove,40494,1648
Jamestown,40493,1255
Woodlawn,40469,1638
Clarksburg,40403,604
Royal Palm Beach,40396,1374
Marion,40359,879
Covington,40341,1180
Coram,40311,1125
Friendswood,40290,754
Indian Trail,40252,707
Woburn,40228,1227
The Acreage,40177,452
Holyoke,40117,731
Montclair,40083,2806
South Valley,40080,533
Torrington,40003,330
Cedar City,39995,374
San Gabriel,39899,3716
Hallandale Beach,39847,3651
Crystal Lake,39829,814
Calexico,39825,1783
Lake Oswego,39822,1426
Amherst,39814,556
Muskogee,39789,331
Romeoville,39746,804
Plant City,39744,557
Keizer,39713,2144
New Berlin,39691,420
Chelsea,39690,6917
La Puente,39614,4396
Roy,39613,1880
Security-Widefield,39612,1176
Marlborough,39597,732
Milton,39587,396
Issaquah,39509,1257
Waipahu,39469,5749
Essex,39437,1644
Bartlesville,39301,611
Lancaster,39228,455
Streamwood,39228,1944
Germantown,39225,757
Annapolis,39223,2100
Carol Stream,39203,1661
Asheboro,39192,531
Culver City,39185,2960
Kalispell,39182,789
Arecibo,39176,975
Lynnwood,39141,1918
Mooresville,39132,613
Brookfield,39115,553
Crestview,39072,606
Horizon West,39065,458
Clinton,39018,602
Moses Lake,39002,519
New Castle,38930,1004
Olive Branch,38924,403
Enterprise,38914,357
Sun City,38877,1040
Frankfort,38852,725
Northglenn,38819,2038
Warren,38752,937
Duncanville,38751,1335
Hurst,38655,1497
Clermont,38654,937
Wheeling,38646,1720
Fort Lee,38605,5920
Pacifica,38546,1175
Lake Worth,38526,2524
Lebanon,38518,355
Kendall West,38433,5396
Land O' Lakes,38410,777
Eagle Mountain,38391,293
Reynoldsburg,38327,1332
Oxford,38310,407
Rosenberg,38307,401
Martinez,38297,1170
Pleasant Grove,38258,1609
La Presa,38227,2684
Severna Park,38188,891
Huber Heights,38154,663
Stanton,38139,4754
East Meadow,38029,2329
Menomonee Falls,38014,445
Granbury,37996,309
Waxahachie,37988,300
Valrico,37980,1061
Mission Bend,37979,3158
Holly Springs,37812,856
Butler,37796,1829
Albertville,37775,313
London,37714,269
Egypt Lake-Leto,37704,2464
Cottage Grove,37604,431
Kailua,37586,1868
St. Marys,37556,314
Mechanicsville,37496,510
Richmond West,37486,3469
Cleburne,37468,340
Valley Stream,37431,4154
Hanover Park,37426,2279
Oswego,37420,874
Navarre,37362,625
Oregon City,37339,1459
Winter Springs,37312,969
Parkland,37303,1666
Pahrump,37298,47
Carpentersville,37254,1828
Wildomar,37229,606
Greenfield,37221,1246
Braintree,37190,1043
Rock Island,37176,850
South Miami Heights,37119,2925
Evans,37114,567
West Fargo,37058,892
Mount Juliet,37029,574
San Juan,37008,1229
Oakton,36997,1463
Georgetown,36994,810
Portage,36988,559
Aventura,36987,5398
Owasso,36957,807
Commack,36953,1192
Park Ridge,36950,2012
Foley,36921,242
New Albany,36843,923
Benton,36820,625
Meridian,36686,261
Bettendorf,36543,662
Dunedin,36537,1355
Hilliard,36534,988
Merritt Island,36532,805
Phenix City,36487,503
Addison,36482,1431
West Hollywood,36475,7461
Roseville,36457,1081
Oakville,36407,885
Tucker,36395,698
Moorpark,36375,1116
Richfield,36354,2088
Monrovia,36331,1028
Kearns,36330,3028
Oak Creek,36325,493
Lincoln Park,36321,2402
Claremont,36266,1048
Oswego,36252,940
Post Falls,36250,925
Peachtree City,36223,569
Lauderdale Lakes,36194,3796
French Valley,36126,1282
Portsmouth,36111,725
Shawnee,36067,278
Gillette,36032,538
Tooele,36015,577
Prattville,35957,410
Woodburn,35941,1737
Watertown Town,35939,3470
Calumet City,35913,1930
San Juan Capistrano,35911,960
Foothill Farms,35881,3300
Elmont,35824,4056
Franklin,35811,399
Temple City,35811,3452
Cooper City,35800,1719
El Mirage,35753,1394
Meadow Woods,35726,1234
LaGrange,35721,277
La Vergne,35716,561
Middletown,35695,748
Mount Pleasant,35694,1239
Carrollwood,35686,1494
Junction City,35677,746
Inver Grove Heights,35672,494
Chillum,35557,4039
Monroe,35540,452
Randallstown,35528,1341
Bell,35521,5486
Gahanna,35483,1102
Sanford,35467,399
Riviera Beach,35463,1653
Wildwood,35432,205
Upper Arlington,35366,1394
Auburn,35311,763
Plainfield,35287,528
Westmont,35266,7369
Oak Harbor,35228,943
Olney,35191,839
Manhattan Beach,35183,3450
New City,35101,870
Owings Mills,35081,1420
La Porte,34976,724
Englewood,34917,2057
Brunswick,34880,1042
East Point,34875,916
DeLand,34851,714
Martinez,34844,927
Pleasant Hill,34839,1901
Orangevale,34824,1172
Merrillville,34792,404
Stow,34785,786
Buenaventura Lakes,34784,2408
San Luis,34778,393
Oildale,34763,2054
Calhoun,34754,426
Leawood,34727,887
Menlo Park,34698,1338
Sun Prairie,34661,1071
Dakota Ridge,34659,1425
Arcata,34616,759
Lockport,34561,933
Pullman,34506,1248
Boardman,34431,878
Nacogdoches,34420,460
Kearney,34418,904
Vestavia Hills,34413,668
North Ridgeville,34392,566
Socorro,34370,604
Randolph,34362,1349
Norristown,34341,3771
Montgomery Village,34332,3335
Redmond,34240,744
Firestone,34230,462
Goshen,34217,751
Butte,34207,18
Russellville,34205,397
Grass Valley,34196,942
Parkland,34170,1055
University City,34165,2244
Midvale,34124,2228
Golden Glades,34109,2725
Franklin,34087,494
Kennesaw,34077,1354
Adelanto,34049,248
Ken Caryl,34040,1336
Carlsbad,34031,368
University Place,34001,1574
Chester,34000,2716
Douglasville,33992,581
Salisbury,33988,588
Laramie,33929,688
Lake Stevens,33911,1469
Foster City,33901,3448
Valparaiso,33897,802
Fairborn,33876,897
Estero,33871,537
Mason,33870,679
Cottonwood Heights,33843,1417
Kaneohe,33841,2000
Sonoma,33831,1551
Beverly Hills,33792,2285
Galesburg,33767,657
Warsaw,33708,437
San Dimas,33621,863
Glendale Heights,33617,2396
Dana Point,33577,1998
Midlothian,33532,204
Newark,33515,1408
Alamogordo,33513,577
Alabaster,33487,512
Pikesville,33486,1046
Fair Oaks,33481,2589
Deer Park,33474,1234
Long Beach,33454,5824
Woodridge,33432,1335
Bridgeton,33379,1497
Greer,33373,563
Springville,33310,897
Saratoga Springs,33282,562
Copperas Cove,33235,711
American Fork,33161,1190
Franklin,33153,418
Andover,33140,377
Matthews,33138,747
Woodstock,33039,1026
Florence,33004,1194
Northbrook,32958,961
West Little River,32897,2769
Fair Lawn,32896,2473
St. Charles,32887,881
Huntington Station,32866,2317
Fairmont,32847,826
Ridgecrest,32684,535
Massillon,32584,663
Spanaway,32575,1437
Starkville,32546,388
Harker Heights,32421,799
Elk Grove Village,32400,1076
Kaysville,32390,1190
Lawndale,32389,6334
Southlake,32376,572
Ferry Pass,32376,896
Savage,32362,801
Des Moines,32348,1947
Bethel Park,32345,1070
Princeton,32299,1680
Dania Beach,32271,1595
Spring Valley,32261,6195
Bowling Green,32249,960
Springfield,32222,1584
East Lake,32169,432
College Park,32163,2213
Coos Bay,32159,594
Smithfield,32156,420
Rome,32148,165
Clearfield,32118,1607
Liberty,32100,429
Eastpointe,32081,2401
Franklin Square,32055,4300
Pekin,32045,848
Westlake,32032,776
Uniondale,32007,2164
Chillicothe,31999,804
La Verne,31974,1463
Juneau,31974,4
Prairieville,31974,561
Placerville,31943,738
Bel Air North,31941,772
Redan,31873,1522
Martinsville,31871,442
Pueblo West,31849,174
Garfield,31802,5816
Fallbrook,31701,697
Spring Valley,31650,1664
Hopkinsville,31569,372
Rochester,31526,270
South Riding,31515,1775
Centereach,31493,1392
Milledgeville,31471,355
Syracuse,31458,1195
Parkville,31451,2834
Sherwood,31436,582
Garner,31407,762
Key West,31401,1665
Miami Lakes,31367,2140
Petersburg,31346,532
North Olmsted,31341,1036
Kahului,31336,841
Wheat Ridge,31324,1294
Fruit Cove,31314,752
Cibolo,31281,584
Alliance,31255,919
Banning,31221,518
Laguna Hills,31207,1824
Central Islip,31205,1694
Athens,31187,265
Princeton,31187,670
Orcutt,31118,1079
Naugatuck,31108,736
Eldersburg,31108,301
Columbus,31084,363
Mundelein,31051,1257
Fair Oaks,31032,1102
San Pablo,30990,4550
Rexburg,30979,1134
Nogales,30917,372
Nicholasville,30912,823
Goleta,30911,1520
Opelika,30908,202
Algonquin,30897,969
Marrero,30894,1656
Burlingame,30889,2707
Aiken,30869,565
Lawrenceville,30834,874
Winter Park,30825,1361
Lake Magdalene,30805,1164
Fitchburg,30792,340
Granger,30776,477
Wooster,30750,597
Fountain,30735,527
Brooklyn Center,30690,1480
Kerrville,30623,418
Barstow,30605,223
Oceanside,30604,2397
Canton,30528,649
Auburn,30507,1212
Crown Point,30488,660
Windsor,30477,469
Lakeside,30458,874
Gloucester,30430,448
Gurnee,30378,868
Orangeburg,30365,542
Holladay,30325,1379
Fuquay-Varina,30324,770
Chamblee,30307,1518
Carney,30289,1677
Peru,30287,390
Sterling,30271,2143
Cornelius,30257,907
North Tonawanda,30245,1156
Long Branch,30241,2278
Santa Paula,30233,2534
Los Gatos,30222,1024
South Lake Tahoe,30188,844
San Carlos,30185,2113
Clinton,30177,275
Saratoga,30153,911
Los Altos,30089,1792
Ballwin,30082,1293
Atascadero,30075,445
North Royalton,30068,544
Somerset,30053,381
Seguin,29992,304
Fortuna Foothills,29955,288
Milford Mill,29926,1663
Pasadena,29918,773
Stockbridge,29904,844
East Liverpool,29898,870
Rahway,29895,2962
Madison Heights,29886,1628
Williston,29844,483
Bay Shore,29799,2130
Eagle,29796,376
Westchester,29778,2901
Maryville,29742,665
Walnut,29685,1274
Suisun City,29663,2820
Garden City,29659,945
Texarkana,29657,273
Kent,29646,1247
West Falls Church,29623,2291
North Chicago,29615,1430
Greenville,29613,417
Duluth,29609,1118
Aberdeen,29609,595
Winona,29601,539
O'Fallon,29583,743
Drexel Heights,29568,586
Ukiah,29561,1290
Atwater,29559,1873
Golden Gate,29552,2922
Sanford,29535,171
Highland Park,29515,930
Westfield,29512,1694
Hermiston,29512,838
Oak Park,29431,2204
Central,29357,182
East Lake-Orient Park,29346,709
Chicago Heights,29322,1101
East Palo Alto,29314,4489
Newberg,29225,1560
Lewes,29187,308
North Attleborough,29180,597
Washington,29174,324
Port Chester,29163,4831
Oak Ridge,29156,132
Crofton,29136,1701
Athens,29122,964
Laplace,29108,537
SeaTac,29044,1114
Raytown,28991,1127
Paragould,28986,351
Graham,28976,319
Southgate,28959,1626
Harrison,28943,666
Niles,28938,1911
Fernandina Beach,28931,444
Big Spring,28913,569
Bella Vista,28872,246
Milton,28851,749
Morrisville,28846,1277
Greenville,28827,344
Casselberry,28757,1601
Plattsburgh,28740,1495
Wasco,28710,1180
South Laurel,28683,1372
Fleming Island,28676,699
Belle Glade,28665,1094
Lake in the Hills,28634,1082
Agawam,28613,473
Shirley,28583,961
Burton,28574,472
Geneva,28563,1158
Schererville,28527,733
Independence,28521,627
West Springfield,28517,658
Austintown,28488,946
Burlington,28474,662
Shamokin,28457,3218
New Iberia,28454,986
Northampton,28451,320
Englewood,28402,2226
Vineyard,28386,637
Zionsville,28357,162
Short Pump,28328,1221
Burbank,28289,2619
Lumberton,28279,446
Perry Hall,28266,1565
Aberdeen,28257,680
Benicia,28240,849
Oakleaf Plantation,28237,663
Jacksonville,28235,381
Winchester,28231,2475
Rockledge,28227,898
Henderson,28207,675
Monterey,28178,1259
Converse,28171,1286
Granite City,28158,564
Yukon,28084,408
Sonora,28035,593
Melrose,28016,2309
Mehlville,27971,1445
Wisconsin Rapids,27966,490
Galt,27954,1505
Hutto,27947,1287
Bixby,27944,433
Hobart,27939,411
Drexel Hill,27939,3373
Oakdale,27933,983
Sunbury,27921,1786
Summerlin South,27908,1112
New Smyrna Beach,27843,285
Tualatin,27837,1314
Forest Hills,27830,218
Fridley,27826,1056
East Chicago,27817,762
Kirkwood,27807,1170
Sanger,27777,1697
Morgan City,27728,693
Ramsey,27721,370
Ruston,27717,399
Jeffersontown,27715,1034
Glen Ellyn,27714,1576
Isla Vista,27707,5782
Cañon City,27676,521
Monticello,27665,609
Ashtabula,27645,894
Temescal Valley,27630,551
Bridgewater,27619,391
Mint Hill,27617,441
Mililani Town,27562,2653
Statesville,27528,429
Gloversville,27512,1128
Gladstone,27489,1313
Deer Park,27479,1720
Fremont,27456,977
Garfield Heights,27448,1465
Imperial Beach,27440,2464
Seneca,27439,418
Florence,27422,169
Bayonet Point,27418,1837
Lansing,27402,1417
Millville,27391,251
Monroeville,27380,536
St. Helens,27353,1104
Bergenfield,27327,3633
Ladera Ranch,27277,2143
Horn Lake,27272,656
Prior Lake,27241,661
Huntley,27228,735
Maple Valley,27202,1749
Easton,27189,2462
Oak Forest,27173,1746
Glen Cove,27166,1576
Indiana,27142,2889
Shoreview,27130,972
Windsor,27128,1440
Sterling,27127,965
Dodge City,27104,717
Colleyville,27091,797
Wilmette,27089,1936
Plum,27087,365
Mount Pleasant,27082,308
McHenry,27061,722
Waterville,27054,472
Norfolk,27032,832
Shaker Heights,27027,1654
Citrus Park,27026,1026
Reisterstown,27007,2018
Erie,27003,529
Brownsburg,27001,660
Chaska,26989,612
Ilchester,26974,970
Shelby,26973,346
Maywood,26973,8837
Maryland Heights,26956,475
Magna,26949,688
Xenia,26947,799
Belmont,26941,2244
Allen Park,26940,1487
Mason City,26931,374
New Lenox,26926,670
Hanahan,26917,986
Kinston,26889,420
Searcy,26889,498
New London,26858,1844
West Islip,26844,1644
West Chicago,26816,673
Kiryas Joel,26813,7593
Lemon Grove,26811,2668
Lindenhurst,26801,2757
McDonough,26768,818
West Linn,26736,1393
Cortland,26729,1851
Lemoore,26725,1170
Alvin,26723,426
Waynesboro,26694,1231
Marshalltown,26666,533
Lebanon,26666,130
West Whittier-Los Nietos,26654,4085
Leisure City,26652,3023
Thomasville,26649,613
Temple Terrace,26639,1410
Lafayette,26638,683
University Park,26620,2575
Norco,26604,742
Immokalee,26597,452
Vernon Hills,26521,1322
Pearl,26510,401
Bethany,26501,1880
Marquette,26491,715
Sedalia,26473,619
Bessemer,26472,252
Plainview,26453,1784
Batavia,26420,968
Garden City,26408,1739
Chanhassen,26389,499
Cabot,26352,490
Vicksburg,26340,253
Brawley,26309,1247
Neenah,26300,1093
Snoqualmie,26289,732
Troy,26281,840
Hercules,26276,1582
Lake City,26271,402
Paramus,26264,970
Okeechobee,26256,553
Soledad,26207,2240
Muscatine,26168,501
Boone,26146,1203
Moscow,26145,1436
Cliffside Park,26133,10556
Sebastian,26118,720
Northport,26115,596
Natchez,26095,356
Winchester,26083,783
Twentynine Palms,26073,171
Holt,26065,642
East St. Louis,26047,722
Sachse,26046,1029
Paris,26010,272
Haines City,26009,532
Cave Spring,26001,841
Superior,25977,273
West Odessa,25962,159
Medina,25956,866
Conway,25956,436
Barberton,25953,1111
Española,25952,497
Dix Hills,25925,628
Rock Springs,25913,451
Mercer Island,25894,1566
Heber,25877,743
White Bear Lake,25875,1238
Laurel,25844,436
Holbrook,25824,1389
Bay Point,25808,1544
Woodstock,25786,745
Lochearn,25771,1779
Green,25752,310
Cloverleaf,25718,3223
Owatonna,25704,682
Decatur,25696,2236
Pooler,25694,358
Madison,25661,392
Lancaster,25649,546
Ewa Gentry,25641,4646
Laurel,25631,2055
Austin,25626,746
Lockport,25615,869
Franklin,25608,735
South Salt Lake,25582,1422
Tarpon Springs,25577,1082
Edgewood,25574,555
San Lorenzo,25569,3557
Bluffton,25557,189
Sevierville,25557,275
Forest Grove,25553,1685
Sun City West,25544,908
South Portland,25532,816
Ruskin,25530,546
Denison,25529,344
El Cerrito,25508,2693
Keystone,25493,280
Coral Terrace,25387,2916
Claremore,25384,489
Homewood,25377,1174
Farmington,25339,983
Columbine,25332,1475
South Pasadena,25329,2870
Canyon Lake,25325,68
Kingsville,25315,704
Forest City,25311,322
Salem,25301,672
Bainbridge Island,25298,353
Caledonia,25277,215
Champlin,25268,1196
Edwardsville,25233,488
South Bradenton,25227,2169
Fairland,25220,1965
Palm Springs,25216,2315
Elk River,25213,229
Rosemount,25207,292
Fountain Hills,25200,479
Belvidere,25143,804
Riverside,25133,997
Middle River,25129,1247
Muskego,25127,306
Levittown,25121,4226
Hazelwood,25117,604
Scottsbluff,25114,847
Fresno,25072,1134
Ridgewood,25056,1684
Yucca Valley,25042,211
Branson,25033,212
Balch Springs,25007,1069
University Park,24985,2617
Timberwood Park,24978,472
De Pere,24970,806
Socastee,24964,722
Terrytown,24953,2628
Fajardo,24950,1183
Marysville,24949,582
Derby,24943,938
Wilsonville,24918,1322
Clayton,24887,634
Brookings,24887,700
Riverbank,24881,2372
North Laurel,24873,1481
Walker,24869,390
Wyandotte,24859,1813
Grandview,24856,651
Forest Lake,24853,264
Chesapeake Beach,24845,864
Palm City,24840,691
Hudson,24832,813
Clarksburg,24767,1164
South Elgin,24755,1352
Auburn Hills,24748,574
Baldwin,24727,3230
North Tustin,24705,1442
Ontario,24704,821
Melrose Park,24703,2250
Ardmore,24698,190
Hastings,24692,653
Burlington,24691,547
Norton Shores,24664,409
Kernersville,24660,535
Sugar Hill,24617,857
Herndon,24601,2215
Emporia,24598,792
Prosper,24579,376
Rockville Centre,24550,2915
Palmetto Bay,24523,1142
Suitland,24522,2229
Somerset,24509,1495
Avon Lake,24504,850
Lathrop,24483,476
Loma Linda,24482,1234
Watauga,24481,2271
Homer Glen,24472,427
Tifton,24466,515
Dinuba,24461,1450
Bloomingdale,24446,1160
Westmont,24443,1887
Clinton,24440,225
Ashland,24430,5132
Opelousas,24423,775
Camas,24418,669
Harvey,24408,1518
Medford,24406,872
Trotwood,24403,309
West Memphis,24402,326
Collinsville,24395,638
Mequon,24382,203
Ellensburg,24377,1074
Ottumwa,24368,593
Chantilly,24368,783
Shelbyville,24351,731
Woodlawn,24351,4106
Lodi,24347,4137
Orchards,24335,1755
Newport,24334,1226
San Fernando,24322,3955
Saginaw,24310,1226
Peekskill,24295,2147
Port Angeles,24293,729
Mill Creek East,24291,2107
Brandon,24289,365
Sun City Center,24286,595
Inkster,24284,1499
Thomasville,24275,476
Ponca City,24274,496
Cataño,24271,1921
Tysons,24261,2196
West Melbourne,24259,883
Faribault,24250,608
San Benito,24243,592
Fort Washington,24237,678
Lincolnton,24229,499
West Springfield,24223,1943
Simpsonville,24221,1013
Waverly,24201,1030
Bailey's Crossroads,24180,4551
Okemos,24141,552
Ridgeland,24104,435
Elmwood Park,24098,4875
North Platte,24098,689
Charles Town,24094,398
Freeport,24092,787
Waukee,24089,448
South Plainfield,24052,1119
Wadsworth,24046,822
Tumwater,24024,532
Fairfax,24019,1486
Candler-McAfee,24011,1331
Oak Ridge,24004,2611
Venice,23985,614
Wright,23965,1684
Lincolnia,23933,1949
Westchase,23923,929
Edgewater,23918,375
North Potomac,23914,1415
Pelham,23911,237
Corsicana,23906,401
Seal Beach,23896,818
Fort Dodge,23888,574
Dunkirk,23874,1007
Calabasas,23853,673
Chalmette,23851,1283
North Augusta,23845,448
Palm River-Clair Mel,23844,805
Mount Pocono,23820,348
Farragut,23778,574
Jenks,23767,535
Palatka,23738,413
Coronado,23731,1149
Valinda,23705,4544
Centerville,23703,834
Van Buren,23683,593
Greeneville,23683,338
Waycross,23671,438
Half Moon Bay,23653,776
Belton,23642,645
Jacksonville Beach,23628,1246
North Lynnwood,23620,2916
Ilion,23608,1187
Rosemont,23602,2084
Seymour,23598,634
Oakdale,23596,1473
Madisonville,23580,404
Romulus,23573,255
Cudahy,23569,7739
Copiague,23561,2941
Winter Gardens,23545,2056
Leland,23544,459
Rolling Meadows,23532,1617
Wekiwa Springs,23512,1051
Northdale,23510,1122
Fort Hood,23508,579
Benbrook,23502,843
Zion,23487,926
Watertown,23479,750
Montrose,23478,413
Hialeah Gardens,23474,2813
Columbus,23468,859
Plainview,23424,560
Auburn,23414,152
Carteret,23408,2058
Arnold,23406,835
Avon,23399,434
West Puente Valley,23382,4829
Loves Park,23371,549
Vero Beach South,23333,879
Lisle,23270,1302
Greenbelt,23224,1438
Granite Bay,23183,416
Maywood,23158,3291
Dickinson,23133,631
Oxford,23113,1188
Kenmore,23097,1450
Allison Park,23092,644
Farmington,23091,609
Monsey,23055,3923
Hastings,23047,858
Rockingham,23016,437
Greenfield,23006,655
Auburn,22994,679
Frederickson,22994,767
Willoughby,22977,865
Mustang,22959,739
Patterson,22930,1115
Gallup,22917,415
Radcliff,22914,665
West Rancho Dominguez,22901,2225
Blue Island,22899,2171
Crystal,22899,1527
Belton,22885,437
Pace,22860,364
Marshall,22831,297
Laguna Beach,22827,991
Webster Groves,22819,1486
Acworth,22818,980
Griffin,22813,632
Willowbrook,22811,5694
Morton Grove,22796,1729
Keene,22786,237
Marina,22781,989
Solon,22779,431
New Brighton,22753,1352
Mandan,22752,650
Pittsburg,22711,592
Elizabeth City,22711,586
Harriman,22708,225
Ives Estates,22707,3442
Greenfield,22703,311
Fairhope,22677,626
Cottage Lake,22677,384
Machesney Park,22677,690
Braidwood,22670,450
Hurricane,22666,139
Trussville,22635,254
Waynesboro,22630,583
Johnston,22582,520
Corcoran,22581,1150
Meadville,22580,1117
Landover,22553,2177
Happy Valley,22553,765
East Peoria,22546,430
Hopewell,22529,840
Fort Walton Beach,22521,1136
Nixa,22515,953
Clinton,22499,1464
Munster,22476,1150
