state,city,county,zipcode,latitude,longitude,major_airport,distance
ND,Mapleton,Cass,58059,46.8915,-97.0533,"Chisholm Hibbing Airport",323.4347
ND,Buffalo,Cass,58011,46.9193,-97.5507,"Chisholm Hibbing Airport",359.9981
ND,Page,Cass,58064,47.1592,-97.5681,"Chisholm Hibbing Airport",357.6338
ND,Kindred,Cass,58051,46.6494,-97.017,"Chisholm Hibbing Airport",327.1211
ND,Brooktree Park,Cass,58042,47.0038,-96.8961,"Chisholm Hibbing Airport",309.448
ND,Horace,Cass,58047,46.7559,-96.9078,"Chisholm Hibbing Airport",315.9841
ND,Nekoma,Cavalier,58355,48.5763,-98.3755,"Chisholm Hibbing Airport",432.6815
ND,Calvin,Cavalier,58323,48.8518,-98.938,"Chisholm Hibbing Airport",480.9963
ND,Milton,Cavalier,58260,48.626,-98.0459,"Chisholm Hibbing Airport",411.0491
ND,Alsen,Cavalier,58352,48.6303,-98.7048,"Chisholm Hibbing Airport",457.6181
ND,Calio,Cavalier,58352,48.6238,-98.938,"Chisholm Hibbing Airport",473.9876
ND,Munich,Cavalier,58352,48.6729,-98.8385,"Chisholm Hibbing Airport",468.3469
ND,Osnabrock,Cavalier,58269,48.6699,-98.1489,"Chisholm Hibbing Airport",419.7443
ND,Sarles,Cavalier,58372,48.945,-98.9969,"Chisholm Hibbing Airport",488.2914
ND,Hannah,Cavalier,58281,48.9728,-98.6902,"Chisholm Hibbing Airport",468.159
ND,Langdon,Cavalier,58249,48.7624,-98.3747,"Chisholm Hibbing Airport",438.6866
ND,Loma,Cavalier,58311,48.6417,-98.5248,"Chisholm Hibbing Airport",445.2328
ND,Wales,Cavalier,58281,48.8952,-98.6008,"Chisholm Hibbing Airport",459.1131
