state,city,county,zipcode,latitude,longitude,name,distance
NC,Clayton,Johnston,27528,35.6591,-78.4499,"Lake Wateree State Recreation Area",262.0794
UT,Clearfield,Davis,84089,41.103,-112.0237,"Manti-La Sal National Forest, Price",219.9579
FL,Clearwater,Pinellas,33769,27.9789,-82.7622,"Myakka State Forest, Englewood",119.7176
FL,Clermont,Lake,34713,28.5402,-81.7259,"Lake Eola Park, Orlando",34.4897
OH,Cleveland,Cuyahoga,44199,41.4767,-81.6804,"Hillman State Park, Burgettstown",156.46
TN,Cleveland,Bradley,37320,35.1817,-84.8707,"Chattahoochee National Forest, Suches",80.7889
NJ,Clifton,Passaic,07015,40.8631,-74.1575,"Ricketts Glen State Park",186.3904
CA,Clovis,Fresno,93747,36.8278,-119.6831,"Kings Canyon National Park, California",100.5755
PA,Coatesville,Chester,19320,39.9849,-75.8199,"Ricketts Glen State Park",155.7311
FL,Cocoa,Brevard,32926,28.382,-80.7674,"Little Big Econ State Forest",46.2258
TX,College Station,Brazos,77881,30.5852,-96.296,"Pedernales Falls State Park, Johnson City",190.5593
TN,Collierville,Shelby,38139,35.0471,-89.6988,"Sipsey Wilderness, Mt Hope",221.7357
CO,Colorado Springs,El Paso,80997,38.8674,-104.7606,"Garden of Gods, Colorado Springs",10.9372
CA,Colton,San Bernardino,92324,34.0538,-117.3254,"Topanga State Park, Topanga",116.3106
MD,Columbia,Howard,21150,39.2004,-76.859,"Shenandoah National Park, Shenandoah",135.8669
MO,Columbia,Boone,65299,38.9478,-92.3256,"Eagle Bluffs Conservation Area, Columbia",14.3311
SC,Columbia,Richland,29250,34.0376,-80.9037,"Lake Wateree State Recreation Area",37.7187
TN,Columbia,Maury,38402,35.6235,-87.0486,"Sipsey Wilderness, Mt Hope",147.8519
GA,Columbus,Muscogee,31999,32.51,-84.8771,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",165.3907
IN,Columbus,Bartholomew,47203,39.2093,-85.9183,"Grant Park, Chicago",329.6458
MS,Columbus,Lowndes,39705,33.5088,-88.4096,"Sipsey Wilderness, Mt Hope",128.333
OH,Columbus,Franklin,43291,39.9862,-82.985,"Egypt Valley Wildlife Area",159.8904
CO,Commerce City,Adams,80640,39.8642,-104.8434,"Cherry Creek State Park, Aurora",24.9524
CA,Compton,Los Angeles,90223,33.893,-118.2275,"Topanga State Park, Topanga",39.9485
CA,Concord,Contra Costa,94527,37.9722,-122.0016,"Yosemite National Park, California",216.3994
NC,Concord,Cabarrus,28027,35.3933,-80.6366,"Kings Mountain State Park, Blacksburg",70.6833
TX,Conroe,Montgomery,77384,30.3239,-95.4825,"Anahuac National Wildlife Refuge, Anahuac",127.3022
AR,Conway,Faulkner,72035,35.0754,-92.4694,"Hot Springs National Park, Hot Springs",80.8029
SC,Conway,Horry,29528,33.8399,-79.0424,"Lake Wateree State Recreation Area",177.9123
GA,Conyers,Rockdale,30094,33.6645,-83.9966,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",64.0222
TN,Cookeville,Putnam,38506,36.1484,-85.5114,"Cades Cove, Great Smoky Mountains National Park, Tennessee",163.9934
FL,Coral Springs,Broward,33077,26.2702,-80.2591,"Oleta River State Park, North Miami",40.4178
CA,Corona,Riverside,92882,33.8616,-117.5649,"Topanga State Park, Topanga",97.7295
TX,Corpus Christi,Nueces,78480,27.726,-97.3755,"Pedernales Falls State Park, Johnson City",299.6508
OR,Corvallis,Benton,97339,44.5697,-123.278,"Siuslaw National Forest, Tidewater",49.692
CA,Costa Mesa,Orange,92628,33.6667,-117.9135,"Topanga State Park, Topanga",78.2184
IA,Council Bluffs,Pottawattamie,51503,41.2369,-95.8517,"El Dorado State Park, Kansas",382.7658
CA,Covina,Los Angeles,91724,34.0903,-117.8817,"Topanga State Park, Topanga",64.9776
GA,Covington,Newton,30015,33.6049,-83.8465,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",79.3114
LA,Covington,St. Tammany,70433,30.4808,-90.1122,"Gulf State Park, Gulf Shores",238.7503
RI,Cranston,Providence,02921,41.7658,-71.4857,"Odiorne Point State Park, Rye",155.9147
FL,Crestview,Okaloosa,32539,30.748,-86.5784,"Gulf State Park, Gulf Shores",114.8186
TN,Crossville,Cumberland,38571,35.9527,-85.0294,"Cades Cove, Great Smoky Mountains National Park, Tennessee",115.758
IN,Crown Point,Lake,46308,41.4141,-87.3457,"Grant Park, Chicago",56.302
IL,Crystal Lake,McHenry,60039,42.2333,-88.3351,"Grant Park, Chicago",71.005
CA,Culver City,Los Angeles,90233,34.0058,-118.3968,"Topanga State Park, Topanga",20.0625
GA,Cumming,Forsyth,30041,34.2064,-84.1337,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",48.3415
CA,Cupertino,Santa Clara,95170,37.3168,-122.0465,"Yosemite National Park, California",229.2404
CA,Cypress,Orange,90630,33.8171,-118.0386,"Topanga State Park, Topanga",59.1928
GA,Dallas,Paulding,30157,33.9153,-84.8416,"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia",25.1427
TX,Dallas,Dallas,75398,32.7936,-96.7662,"Little Sandy National Wildlife Refuge, Lindale",141.4786
GA,Dalton,Whitfield,30722,34.769,-84.9712,"Chattahoochee National Forest, Suches",75.6041
CA,Daly City,San Mateo,94017,37.6862,-122.4685,"Yosemite National Park, California",258.2895
CT,Danbury,Fairfield,06813,41.4016,-73.471,"Ricketts Glen State Park",235.3641
CA,Danville,Contra Costa,94526,37.8121,-121.9698,"Yosemite National Park, California",213.5955
